ITEM	Languages_studied	Language_families	Vol	Issue	Year
Volume 35 Issue 3	NA	NA	NA	NA	NA
A sisterhood of constructions? A structural priming approach to modelling links in the network of Objoid Constructions	English	Indo-European	35	3	2024
The colexification of vision and cognition in Mandarin: controlled activity surpasses uncontrolled experience	Chinese	Sino-Tibetan	35	3	2024
The role of constructions in understanding predictability measures and their correspondence to word duration	English	Indo-European	35	3	2024
Multimodal constructions revisited. Testing the strength of association between spoken and non-spoken features of Tell me about it	English	Indo-European	35	3	2024
A related-event approach to event integration in Japanese complex predicates: iconicity, frequency, or efficiency?	Japanese	Japonic	35	3	2024
Volume 35 Issue 2 - Special Issue: Cognitive Approaches to Uniformity and Variability in Morphology; Guest Editors: Petar Milin, Neil Bermel and James P. Blevins	NA	NA	NA	NA	NA
Cognitive approaches to uniformity and variability in morphology	NA	NA	35	2	2024
Ideal and real paradigms: language users, reference works and corpora	Czech	Indo-European	35	2	2024
Baseless derivation: the behavioural reality of derivational paradigms	French	Indo-European	35	2	2024
The role of entrenchment and schematisation in the acquisition of rich verbal morphology	Croatian	Indo-European	35	2	2024
Preferences in the use of overabundance: predictors of lexical bias in Estonian	Estonian	Indo-European	35	2	2024
Volume 35 Issue 1	NA	NA	NA	NA	NA
Typological shift of Mandarin Chinese in terms of motion verb lexicalization pattern	Chinese	Sino-Tibetan	35	1	2024
The boundary-crossing constraint revisited: movement verbs across varieties of Spanish	Spanish	Indo-European	35	1	2024
Allostructions and stancetaking: a corpus study of the German discourse management constructions Wo/wenn wir gerade/schon dabei sind	German	Indo-European	35	1	2024
Moving Figures and Grounds in music description	English	Indo-European	35	1	2024
When life is no longer a journey: the effect of the COVID-19 pandemic on the metaphorical conceptualization of life among Hungarian adults – a representative survey	Hungarian	Uralic	35	1	2024
Volume 34 Issue 3-4	NA	NA	NA	NA	NA
Cross-modal iconicity and indexicality in the production of lexical sensory and emotional signs in Finnish Sign Language	Finnish Sign Language	Sign Language	34	3-4	2023
The next station: chunking of değİl ‘not’ collocations in Turkish Sign Language	Turkish Sign Language	Sign Language	34	3-4	2023
Running across the mind or across the park: does speech about physical and metaphorical motion go hand in hand?	German	Indo-European	34	3-4	2023
Running across the mind or across the park: does speech about physical and metaphorical motion go hand in hand?	Polish	Indo-European	34	3-4	2023
Running across the mind or across the park: does speech about physical and metaphorical motion go hand in hand?	Spanish	Indo-European	34	3-4	2023
The language of sound: events and meaning multitasking of words	English	Indo-European	34	3-4	2023
Updating constructions: additive effects of prior and current experience during sentence production	English	Indo-European	34	3-4	2023
Investigating the psychological reality of argument structure constructions and N1 of N2 constructions: a comparison between L1 and L2 speakers of English	English	Indo-European	34	3-4	2023
Semantic micro-dynamics as a reflex of occurrence frequency: a semantic networks approach	German	Indo-European	34	3-4	2023
Volume 34 Issue 2	NA	NA	NA	NA	NA
A chained metonymic approach to ίdὸ ‘eye’ constructional metonymies in Hausa	Hausa	Afro-Asiatic	34	2	2023
Perspective-taking and intersubjectivity in oral narratives of people with a schizophrenia diagnosis: a cognitive linguistic viewpoint analysis	Dutch	Indo-European	34	2	2023
Chinese synthetic verbs: a further challenge to manner/result complementarity on the basis of lexical root meaning analysis	Chinese	Sino-Tibetan	34	2	2023
An assessment of the fourth law of Kuryłowicz: does prototypicality of meaning affect language change?	Dutch	Indo-European	34	2	2023
The complexity principle and the morphosyntactic alternation between case affixes and postpositions in Estonian	Estonian	Indo-European	34	2	2023
Volume 34 Issue 1	NA	NA	NA	NA	NA
